Movie_Names,Descriptions,Release_Dates,Director_Names,Ratings,Durations,Actors_list,Filming_Dates
The Godfather,An organized crime dynasty's aging patriarch transfers control of his clandestine empire to his reluctant son.,1972,Francis Ford Coppola,9.2,175 min,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']",29 March 1971 - 6 August 1971
The Godfather: Part II,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1974,Francis Ford Coppola,9,202 min,"['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']",1 October 1973 - 19 June 1974
Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1994,Quentin Tarantino,8.9,154 min,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']",20 September 1993 - 30 November 1993
The Dark Knight,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008,Christopher Nolan,9,152 min,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']",18 April 2007 - 11 November 2007
Heat,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,1995,Michael Mann,8.2,170 min,"['Al Pacino', 'Robert De Niro', 'Val Kilmer', 'Jon Voight']",21 February 1995 - 19 July 1995
Kill Bill: Vol. 1,"After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.",2003,Quentin Tarantino,8.1,111 min,"['Uma Thurman', 'David Carradine', 'Daryl Hannah', 'Michael Madsen']",17 June 2002 - 3 March 2003
Kill Bill: Vol. 2,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",2004,Quentin Tarantino,8,137 min,"['Uma Thurman', 'David Carradine', 'Michael Madsen', 'Daryl Hannah']",17 June 2002 - 3 March 2003
The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,2006,Martin Scorsese,8.5,151 min,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']",21 April 2005 - 27 August 2005
Léon,"Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.",1994,Luc Besson,8.5,110 min,"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']",1 June 1993 - 7 October 1993
The Godfather: Part III,"Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.",1990,Francis Ford Coppola,7.6,162 min,"['Al Pacino', 'Diane Keaton', 'Andy Garcia', 'Talia Shire']",27 November 1989 - 25 May 1990
